commit id,author,date,comment,changed files,lines added,lines deleted,msg_len,buggy
a1654e59b9a,13,Tue Mar 3 21:20:53 2020,9,6,104,7,53,0
065b64934ac,7,Wed Mar 25 23:05:53 2020,0,0,0,0,13,0
3efffa8a556,6,Fri Feb 21 20:20:31 2020,9,1,3,2,60,0
0be8235a615,6,Fri Feb 21 20:20:31 2020,9,1,3,2,60,0
eb65002bd0a,7,Wed Mar 25 21:59:55 2020,0,0,0,0,13,0
466217ff6cc,10,Wed Mar 25 20:26:47 2020,9,2,29,1,38,0
5eea6b278e8,17,Mon Mar 16 13:00:36 2020,9,1,5,0,53,0
f2d04753be9,6,Fri Feb 21 20:20:31 2020,9,1,3,2,60,0
ca7f780ca7a,19,Fri Mar 6 22:41:24 2020,9,1,1,1,65,0
52ac7f2ddb5,13,Thu Feb 13 18:29:47 2020,9,4,81,26,63,0
306be2f5b51,16,Thu Jan 30 15:50:25 2020,9,2,4,3,70,0
a2e5514b8a7,19,Sun Jan 26 21:05:18 2020,9,1,4,2,75,0
95f30739a88,16,Mon Feb 3 16:02:34 2020,9,1,1,1,69,0
e48dbc36191,7,Wed Mar 25 20:11:12 2020,0,0,0,0,13,0
fc7ec490438,7,Wed Mar 25 20:10:37 2020,0,0,0,0,13,0
63c2478cc9f,2,Fri Mar 20 16:46:57 2020,9,1,16,7,56,0
a96478037fe,13,Mon Feb 24 17:23:45 2020,9,5,30,14,42,0
ada2fbb88f7,16,Thu Jan 30 15:50:25 2020,9,2,4,3,70,0
46246fe38dc,7,Wed Mar 25 19:18:20 2020,0,0,0,0,13,0
e4ebd3e6e32,12,Fri Mar 13 15:11:47 2020,15,3,15,8,74,0
ad69cc13d3f,7,Tue Mar 24 16:38:51 2020,9,1,1,1,75,0
2242a08f851,2,Tue Mar 17 19:17:48 2020,9,1,5,1,49,0
2ddb3a23b85,7,Fri Mar 6 18:16:49 2020,9,3,14,3,46,0
ba50226035b,17,Wed Mar 25 15:25:17 2020,9,1,1,1,36,0
428d2dc3f86,7,Tue Mar 24 16:38:51 2020,9,1,1,1,75,0
077f58027e2,19,Sun Jan 26 21:05:18 2020,9,1,4,2,75,0
e41e64baf8c,7,Fri Mar 6 18:16:49 2020,9,3,14,3,46,0
295782cafd6,17,Wed Mar 25 15:25:17 2020,9,1,1,1,36,0
d1282408d4f,7,Wed Mar 25 16:52:02 2020,9,1,2,2,34,0
74df5cbaf37,12,Fri Mar 13 15:11:47 2020,15,3,15,8,74,0
2106ecdecb6,7,Tue Mar 24 16:38:51 2020,9,1,1,1,75,0
b0dcbb92a8d,7,Fri Mar 6 18:16:49 2020,9,3,14,3,46,0
7b821560526,2,Wed Mar 25 16:08:48 2020,9,1,1,1,49,0
36316c5af2a,15,Tue Mar 24 15:38:10 2020,9,1,2,2,62,0
522d79e9f13,7,Wed Mar 25 16:04:47 2020,0,0,0,0,13,0
e729af8dd9d,10,Tue Mar 10 18:40:09 2020,9,3,17,11,39,0
4cb21e1a95b,10,Fri Mar 6 21:07:43 2020,15,1,1,0,47,0
