author,comment,changed files,lines added,lines deleted,msg_len,buggy
438,84,6,104.0,7.0,53,0
344,0,0,0.0,0.0,13,0
370,84,1,3.0,2.0,60,0
370,84,1,3.0,2.0,60,0
344,0,0,0.0,0.0,13,0
461,84,2,29.0,1.0,38,0
538,84,1,5.0,0.0,53,0
370,84,1,3.0,2.0,60,0
428,84,1,1.0,1.0,65,0
438,84,4,81.0,26.0,63,0
65,84,2,4.0,3.0,70,0
428,84,1,4.0,2.0,75,0
65,84,1,1.0,1.0,69,0
344,0,0,0.0,0.0,13,0
344,0,0,0.0,0.0,13,0
327,84,1,16.0,7.0,56,0
388,84,5,30.0,14.0,42,0
65,84,2,4.0,3.0,70,0
344,0,0,0.0,0.0,13,0
185,98,3,15.0,8.0,74,0
546,84,1,1.0,1.0,75,0
228,84,1,5.0,1.0,49,0
546,84,3,14.0,3.0,46,0
538,84,1,1.0,1.0,36,0
546,84,1,1.0,1.0,75,0
428,84,1,4.0,2.0,75,0
546,84,3,14.0,3.0,46,0
538,84,1,1.0,1.0,36,0
432,84,1,2.0,2.0,34,0
185,98,3,15.0,8.0,74,0
546,84,1,1.0,1.0,75,0
546,84,3,14.0,3.0,46,0
327,84,1,1.0,1.0,49,0
170,84,1,2.0,2.0,62,0
344,0,0,0.0,0.0,13,0
597,84,3,17.0,11.0,39,0
597,30,1,1.0,0.0,47,0
538,84,1,1.0,1.0,39,0
279,84,4,8.0,7.0,59,0
352,84,2,13.0,4.0,45,0
279,84,4,8.0,7.0,59,0
170,84,1,1.0,1.0,36,0
51,90,1,4.0,2.0,40,0
228,84,1,5.0,1.0,49,0
538,84,1,1.0,1.0,36,0
535,84,1,9.0,3.0,52,0
479,46,1,3.0,1.0,53,0
170,84,1,2.0,2.0,62,0
279,84,4,8.0,7.0,59,1
538,84,1,1.0,1.0,39,0
327,84,1,1.0,0.0,62,0
491,84,1,2.0,0.0,41,0
228,84,1,4.0,1.0,49,0
26,84,1,24.0,8.0,50,0
327,84,2,2.0,2.0,62,0
546,84,1,1.0,1.0,75,0
279,21,2,5.0,4.0,63,0
228,84,1,1.0,1.0,65,0
344,0,0,0.0,0.0,13,0
538,84,3,15.0,2.0,43,0
513,84,1,1.0,1.0,61,0
343,0,17,96.0,64.0,46,0
428,84,1,1.0,1.0,44,0
279,21,1,2.0,2.0,63,0
597,84,1,3.0,1.0,44,0
597,84,1,1.0,1.0,50,0
327,84,2,2.0,2.0,62,0
26,84,1,1.0,1.0,38,0
26,84,2,18.0,4.0,57,0
327,84,1,16.0,6.0,56,0
491,84,1,2.0,0.0,41,0
327,84,1,16.0,6.0,56,0
328,84,1,1.0,1.0,34,0
328,84,1,1.0,1.0,34,0
217,84,7,66.0,16.0,45,0
26,84,2,15.0,2.0,43,0
546,84,3,14.0,3.0,46,0
279,84,4,8.0,7.0,59,0
26,84,1,24.0,8.0,50,0
328,84,3,111.0,10.0,48,0
356,84,1,4.0,0.0,70,0
228,84,1,4.0,1.0,49,0
26,84,4,12.0,4.0,55,1
327,84,2,2.0,2.0,62,0
228,84,1,1.0,1.0,65,0
279,21,3,9.0,8.0,63,0
428,72,1,2.0,2.0,23,0
65,84,1,3.0,0.0,62,0
26,84,1,1.0,1.0,53,0
328,84,1,1.0,1.0,34,0
343,0,60,873.0,298.0,46,0
510,84,2,2.0,2.0,43,0
228,84,2,10.0,2.0,81,0
428,84,1,5.0,1.0,75,0
475,97,2,24.0,1.0,54,0
428,84,1,1.0,1.0,54,0
356,84,1,4.0,0.0,70,0
170,84,1,5.0,0.0,55,0
387,84,2,3.0,2.0,45,0
65,84,1,3.0,0.0,62,0
26,84,1,1.0,1.0,53,0
26,84,2,15.0,2.0,43,0
356,84,1,4.0,0.0,70,0
170,46,1,1.0,1.0,67,0
228,84,1,1.0,1.0,68,0
475,84,1,4.0,1.0,52,0
83,84,2,19.0,6.0,63,0
83,84,2,9.0,1.0,65,0
475,84,1,4.0,1.0,52,0
475,97,2,22.0,1.0,54,1
416,84,1,1.0,1.0,41,0
347,84,1,1.0,1.0,51,0
538,84,1,1.0,1.0,64,0
268,84,1,3.0,3.0,74,0
118,84,1,1.0,1.0,42,0
118,84,2,50.0,1.0,52,1
428,84,1,1.0,1.0,54,0
479,46,1,3.0,1.0,53,0
228,84,1,1.0,1.0,65,0
170,84,4,24.0,4.0,63,0
128,84,2,30.0,1.0,60,0
189,97,20,212.0,21.0,42,0
470,84,2,43.0,0.0,72,0
439,61,4,118.0,2.0,68,0
354,84,3,130.0,3.0,50,0
428,84,1,2.0,1.0,60,0
369,84,1,4.0,4.0,58,0
428,84,1,1.0,1.0,65,0
328,84,1,5.0,1.0,30,0
64,1,14,216.0,0.0,51,0
535,84,2,15.0,3.0,52,0
447,84,1,10.0,6.0,59,0
1,84,1,1.0,1.0,54,0
491,84,1,40.0,0.0,66,0
538,84,4,32.0,26.0,59,1
475,97,2,22.0,1.0,54,1
357,97,19,585.0,52.0,53,0
118,84,2,50.0,1.0,52,0
369,84,1,4.0,4.0,58,0
470,97,2,6.0,3.0,56,0
597,84,3,17.0,11.0,39,0
597,30,1,1.0,0.0,47,0
428,72,1,2.0,2.0,23,0
533,81,1,3.0,1.0,59,0
416,84,1,1.0,1.0,45,0
291,84,3,26.0,1.0,42,0
328,84,4,30.0,0.0,59,0
65,84,1,3.0,0.0,62,0
510,84,2,2.0,2.0,43,0
392,84,1,17.0,14.0,42,0
95,84,1,1.0,1.0,51,0
428,84,1,2.0,1.0,58,0
605,96,1,4.0,4.0,41,0
328,84,1,1.0,1.0,34,0
461,97,2,5.0,0.0,53,0
513,84,1,1.0,1.0,61,0
107,84,2,9.0,4.0,55,0
597,84,1,2.0,1.0,50,0
